"",,,,,Previous Retail,September 2020,September 2020,September 2020,September 2020
SKU,Product Name by Product Category,Previous PV,Previous BV,Previous IBOC,,,,,
"",,,,,Price,PV,BV,IBOC,Retail Price
100070,NutriliteTM Cholesterol Health,9.25,27.75,27.75,37.00,9.15,27.90,27.90,31.00
100346,NutriliteTM Kids Chewable Concentrated Fruits and Vegetables,7.25,22.50,22.50,30.00,7.38,22.50,22.50,25.00
100648,NutriliteTM Concentrated Fruits and Vegetables,12.00,37.50,37.50,50.00,12.39,37.80,37.80,42.00
102046,NutriliteTM Iron Folic,4.50,14.25,14.25,19.00,4.65,14.18,14.18,15.75
102735,NutriliteTM  ClearGuardTM  Dietary Supplement,6.00,18.75,18.75,25.00,6.20,18.90,18.90,21.00
104144,NutriliteTM Vision Health With Lutein,9.75,29.25,29.25,39.00,9.74,29.70,29.70,33.00
104276,NutriliteTM Kids Chewable Daily,4.50,14.25,14.25,19.00,4.65,14.18,14.18,15.75
104282,NutriliteTM Kids Brainiums DHATM Dietary Supplement – Fruit Punch Flavor,9.75,29.25,29.25,39.00,9.74,29.70,29.70,33.00
104664,NutriliteTM Joint Health - 30 Day Supply,9.00,28.50,28.50,38.00,9.44,28.80,28.80,32.00
123365,NutriliteTM Men’s Pack,11.05,33.15,33.15,39.00,10.92,33.30,33.30,37.00
123372,NutriliteTM Women’s Pack,11.05,33.15,33.15,39.00,10.92,33.30,33.30,37.00
106964,NutriliteTM Joint Health – 60-day supply,16.75,52.50,52.50,70.00,17.11,52.20,52.20,58.00
109536,NutriliteTM Multi Carotene,4.50,13.50,13.50,18.00,4.43,13.50,13.50,15.00
109747,NutriliteTM Vitamin C Extended Release,19.50,61.50,61.50,82.00,20.07,61.20,61.20,68.00
110101,WellsonaTM Brain Health Omega,11.00,34.50,34.50,46.00,11.21,34.20,34.20,38.00
110171,NutriliteTM Vitamin B Dual-Action,10.00,31.50,31.50,42.00,10.33,31.50,31.50,35.00
110415,NutriliteTM All Plant Protein Powder,13.50,40.50,40.50,54.00,13.28,40.50,40.50,45.00
110538,NutriliteTM  Twist Tubes 2GOTM – Fruits & Vegetables - Mango Citrus,6.90,20.70,20.70,23.00,6.79,20.70,20.70,23.00
110610,NutriliteTM Cal Mag D,11.25,35.25,35.25,47.00,11.51,35.10,35.10,39.00
110855,NutriliteTM Twist Tubes 2GOTM - Immunity Health,6.90,20.70,20.70,23.00,6.79,20.70,20.70,23.00
110857,NutriliteTM Twist Tubes 2GOTM - Joint Health,6.90,20.70,20.70,23.00,6.79,20.70,20.70,23.00
110922,NutriliteTM Twist Tubes 2GOTM -  Variety Pack,6.90,20.70,20.70,23.00,6.79,20.70,20.70,23.00
111044,NutriliteTM Wellness Bars - Coconut Almond,7.50,23.40,23.40,26.00,7.67,23.40,23.40,26.00
111045,NutriliteTM Wellness Bars - Nutty Dark Chocolate,7.50,23.40,23.40,26.00,7.67,23.40,23.40,26.00
111106,NutriliteTM Memory BuilderTM Dietary Supplement,15.25,45.75,45.75,61.00,15.05,45.90,45.90,51.00
112513,NutriliteTM Kids Brainiums DHATM Dietary Supplement – Strawberry Flavor,9.75,29.25,29.25,39.00,9.74,29.70,29.70,33.00
115409,NutriliteTM Kids Chewable Probiotic,7.25,21.75,21.75,29.00,7.08,21.60,21.60,24.00
119346,NutriliteTM Vitamin D,8.75,26.25,26.25,35.00,8.56,26.10,26.10,29.00
